Reference,Qty/Board,Value,Footprint,Original MPN,DigiKey PN,DigiKey MPN,Manufacturer,Match,DK Stock,Unit @ 5bd,Ext 5 bd,Unit @ 10bd,Ext 10 bd,Unit @ 25bd,Ext 25 bd,Notes
C1,1,100n,C_0805,CC0805KRX7R9BB104,311-1140-1-ND,CC0805KRX7R9BB104,YAGEO,exact,2079010,0.14000,0.70,0.07600,0.76,0.07600,1.90,
"C2,C4,C5",3,4.7uF,C_0805,GRM21BR71E475KA73L,587-2990-1-ND,TMK212AB7475KG-T,Taiyo Yuden,SUB,798508,0.14700,2.21,0.14700,4.41,0.10560,7.92,Original Murata part is OBSOLETE at DigiKey. Taiyo Yuden 4.7uF 25V X7R 0805.
"C3,C8,C10,C11,C12,C13,C15,C16",8,100n,C_0603,CC0603KRX7R9BB104,1276-6854-1-ND,CL10B104KB8WPNC,Samsung Electro-Mechanics,SUB,195619,0.05500,2.20,0.03780,3.02,0.03250,6.50,Exact Yageo part is 0 stock at DigiKey (Mouser 603-CC603KRX7R9BB104 has 51M). Samsung 100nF 50V X7R 10%.
"C6,C7",2,8p,C_0603,CC0603CRNPO9BN8R0,311-3864-1-ND,CC0603CRNPO9BN8R0,YAGEO,exact,5962,0.09300,0.93,0.09300,1.86,0.06460,3.23,
"C9,C14",2,47uF,C_1210,TMK325ABJ476MM-P,587-5479-1-ND,TMK325ABJ476MM-P,Taiyo Yuden,exact,34325,0.77900,7.79,0.77900,15.58,0.61040,30.52,
C17,1,22u,C_0805,GRM21BR61A226ME44L,445-7663-1-ND,C2012X5R1A226M085AC,TDK,SUB,123281,0.32000,1.60,0.18800,1.88,0.18800,4.70,Exact Murata part 0 stock at DigiKey. TDK 22uF 10V X5R 0805.
CY1,1,1nF Y1 400VAC,Disc D7.0 P14.00,Q07F3Z102MA5B0S0N0,490-DE1E3RA102MJ4BH01F-ND,DE1E3RA102MJ4BH01F,Murata Electronics,-> MOUSER,5906,0.83000,4.15,0.52600,5.26,0.52600,13.15,"*** Buy from Mouser 81-DE1E3A102MJ4BH01F (2072 stk, $0.83/1, $0.405/10) -- cheaper than DigiKey at qty 10. Murata X1/Y1 400VAC 1nF, 7.00mm dia (matches), 10mm lead spacing vs the 14mm footprint pitch, so leads splay on assembly. Y1 rating is mandatory. Through-hole -- JLC will not place it."
"D1,D4",2,ESD5Z6.0T1G,SOD-523,ESD5Z6.0T1G,ESD5Z6.0T1GOSCT-ND,ESD5Z6.0T1G,onsemi,exact,762,0.13400,1.34,0.13400,2.68,0.09540,4.77,"Schematic now specifies this part (was T6V0S5A-7, which is dry at DigiKey and Mouser and down to 51 pcs at JLC). onsemi uni TVS 6Vrwm / 20.5Vc. JLC C82323 has 11798 -- both BOMs now agree."
"D2,D3",2,SS34,D_SMA,SS34,SS34FSCT-ND,SS34,onsemi,exact,67674,0.63100,6.31,0.63100,12.62,0.46480,23.24,Cheaper on Mouser: 821-SS34 (Taiwan Semi) $0.79/1 vs $1.01.
D5,1,GREEN LED,LED_0603,KT-0603G,160-1435-1-ND,LTST-C190KGKT,Lite-On Inc.,SUB,1826340,0.15000,0.75,0.10400,1.04,0.10400,2.60,DigiKey does not carry KENTO. Lite-On LTST-C190KGKT green 0603. Verify Vf/If vs R10=330.
D6,1,RED LED,LED_0603,KT-0603R,160-1436-1-ND,LTST-C190KRKT,Lite-On Inc.,SUB,869864,0.14000,0.70,0.09800,0.98,0.09800,2.45,DigiKey does not carry KENTO. Lite-On LTST-C190KRKT red 0603.
"J1,J2",2,USB-C 16P,HRO TYPE-C-31-M-12,TYPE-C-31-M-12,2073-USB4105-GF-ACT-ND,USB4105-GF-A,GCT,SUB-CHECK FP,96856,0.67600,6.76,0.67600,13.52,0.60340,30.17,"DigiKey does not carry HRO. GCT USB4105-GF-A is the closest land pattern: shell slots identical (+/-4.32mm, y -3.105/+1.075 vs HRO -3.13/+1.05), but the SMD contact row sits 0.34mm closer to the shell (dy 0.575 vs 0.915). ~80% pad overlap -- change the footprint to USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal before ordering."
Q1,1,2N7002,SOT-23,2N7002LT1G,1727-8643-1-ND,2N7002NXAKR,Nexperia USA Inc.,SUB,218440,0.14000,0.70,0.08600,0.86,0.08600,2.15,"Exact onsemi part 0 stock at DigiKey (Mouser 863-2N7002LT1G has 40k). Nexperia 2N7002NXAKR, 60V / 190mA vs 115mA -- fine for the PGOOD buffer."
"R1,R2",2,5.1k,R_0603,RC0603FR-075K1L,311-5.10KHRCT-ND,RC0603FR-075K1L,YAGEO,exact,634744,0.02700,0.27,0.02700,0.54,0.01580,0.79,
"R3,R4",2,56k,R_0603,RC0603FR-0756KL,RMCF0603FT56K0CT-ND,RMCF0603FT56K0,Stackpole Electronics Inc,SUB,111213,0.02100,0.21,0.02100,0.42,0.01200,0.60,Exact Yageo part 0 stock at DigiKey. Stackpole 56k 1% 0603.
"R5,R9",2,100k,R_0603,RC0603FR-07100KL,311-100KHRCT-ND,RC0603FR-07100KL,YAGEO,exact,2174279,0.02500,0.25,0.02500,0.50,0.01500,0.75,
R7,1,3k,R_0603,RC0603FR-073KL,311-3.00KHRCT-ND,RC0603FR-073KL,YAGEO,exact,9163,0.10000,0.50,0.02500,0.25,0.01880,0.47,"Value changed 3.01k -> 3k (LED series resistor, ~1mA -- 0.3% shift is immaterial). Buys a JLC Basic part (C4211), removing one extended-part fee."
R8,1,93.1k,R_0603,RC0603FR-0793K1L,311-93.1KHRCT-ND,RC0603FR-0793K1L,YAGEO,exact,26511,0.10000,0.50,0.02500,0.25,0.01880,0.47,
R10,1,330,R_0603,RC0603FR-07330RL,311-330HRCT-ND,RC0603FR-07330RL,YAGEO,exact,1021515,0.10000,0.50,0.02500,0.25,0.01880,0.47,
T1,1,750313638,WE_750313638,750313638,1297-1105-1-ND,750313638,Würth Elektronik,exact / NO STOCK,0,3.60000,18.00,3.25500,32.55,3.12520,78.13,"*** 0 stock at DigiKey. Mouser 710-750313638 has 4624 in stock, $4.07/1 $3.81/10 $3.52/50. Order T1 from Mouser."
U1,1,ADuM4165,SOIC-20 RI-20-1,ADUM4165BRIZ,505-ADUM4165BRIZ-ND,ADUM4165BRIZ,Analog Devices Inc.,exact / NO STOCK,0,18.09000,90.45,14.37900,143.79,14.37900,359.48,"*** 0 stock at DigiKey (all variants incl. -RL). Mouser 584-ADUM4165BRIZ shows 1814 ON ORDER, 301-day lead, $18.24/1. This is the schedule driver -- check Arrow/Avnet/Newark or ADI direct."
"U2,U4",2,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,497-5235-1-ND,USBLC6-2SC6,STMicroelectronics,exact,56982,0.34900,3.49,0.34900,6.98,0.25260,12.63,
