Digi-Key Part Number,Quantity,Customer Reference
311-1140-1-ND,5,C1
587-2990-1-ND,15,"C2,C4,C5"
1276-6854-1-ND,40,"C3,C8,C10,C11,C12,C13,C15,C16"
311-3864-1-ND,10,"C6,C7"
587-5479-1-ND,10,"C9,C14"
445-7663-1-ND,5,C17
ESD5Z6.0T1GOSCT-ND,10,"D1,D4"
SS34FSCT-ND,10,"D2,D3"
160-1435-1-ND,5,D5
160-1436-1-ND,5,D6
2073-USB4105-GF-ACT-ND,10,"J1,J2"
1727-8643-1-ND,5,Q1
311-5.10KHRCT-ND,10,"R1,R2"
RMCF0603FT56K0CT-ND,10,"R3,R4"
311-100KHRCT-ND,10,"R5,R9"
311-3.00KHRCT-ND,5,R7
311-93.1KHRCT-ND,5,R8
311-330HRCT-ND,5,R10
497-5235-1-ND,10,"U2,U4"
296-47311-1-ND,5,U3
296-TLV76750DGNRCT-ND,5,U5
296-23990-1-ND,5,U6
478-CX3225FB24000D0FZZH1CT-ND,5,Y1
