Address hex,Data hex,Meaning
00,24,VID low: Microchip default development identity
01,04,VID high: 0x0424; obtain authorized identity before distribution
02,14,PID low: USB2514B default
03,25,PID high: 0x2514
04,00,Device release low
05,03,Device release high: 0x0300 Rev C
06,1B,"HS enabled, multi-TT, EOP disabled, individual OC sensing and switching; bit7 ignored with dynamic power"
07,80,"Dynamic LOCAL_PWR switching enabled, 0.1ms additional hub OC debounce"
08,00,Standard port map; string descriptors disabled
09,00,All ports removable
0A,00,All four ports enabled with external power
0B,00,All four ports enabled with qualified bus power; shared load budget applies
0C,32,Self-powered upstream maximum 100mA including host-side isolator
0D,FA,Bus-powered controller/circuit maximum 500mA; Type-C current qualification required
0E,32,Self-powered hub-controller maximum 100mA
0F,FA,Bus-powered hub-controller maximum 500mA; not a promise of legacy bus-powered interoperability
10,FA,500ms port power-on interval in 2ms units
11,00,Reserved/unused: zero
12,00,Reserved/unused: zero
13,00,Reserved/unused: zero
14,00,Reserved/unused: zero
15,00,Reserved/unused: zero
16,00,Reserved/unused: zero
17,00,Reserved/unused: zero
18,00,Reserved/unused: zero
19,00,Reserved/unused: zero
1A,00,Reserved/unused: zero
1B,00,Reserved/unused: zero
1C,00,Reserved/unused: zero
1D,00,Reserved/unused: zero
1E,00,Reserved/unused: zero
1F,00,Reserved/unused: zero
20,00,Reserved/unused: zero
21,00,Reserved/unused: zero
22,00,Reserved/unused: zero
23,00,Reserved/unused: zero
24,00,Reserved/unused: zero
25,00,Reserved/unused: zero
26,00,Reserved/unused: zero
27,00,Reserved/unused: zero
28,00,Reserved/unused: zero
29,00,Reserved/unused: zero
2A,00,Reserved/unused: zero
2B,00,Reserved/unused: zero
2C,00,Reserved/unused: zero
2D,00,Reserved/unused: zero
2E,00,Reserved/unused: zero
2F,00,Reserved/unused: zero
30,00,Reserved/unused: zero
31,00,Reserved/unused: zero
32,00,Reserved/unused: zero
33,00,Reserved/unused: zero
34,00,Reserved/unused: zero
35,00,Reserved/unused: zero
36,00,Reserved/unused: zero
37,00,Reserved/unused: zero
38,00,Reserved/unused: zero
39,00,Reserved/unused: zero
3A,00,Reserved/unused: zero
3B,00,Reserved/unused: zero
3C,00,Reserved/unused: zero
3D,00,Reserved/unused: zero
3E,00,Reserved/unused: zero
3F,00,Reserved/unused: zero
40,00,Reserved/unused: zero
41,00,Reserved/unused: zero
42,00,Reserved/unused: zero
43,00,Reserved/unused: zero
44,00,Reserved/unused: zero
45,00,Reserved/unused: zero
46,00,Reserved/unused: zero
47,00,Reserved/unused: zero
48,00,Reserved/unused: zero
49,00,Reserved/unused: zero
4A,00,Reserved/unused: zero
4B,00,Reserved/unused: zero
4C,00,Reserved/unused: zero
4D,00,Reserved/unused: zero
4E,00,Reserved/unused: zero
4F,00,Reserved/unused: zero
50,00,Reserved/unused: zero
51,00,Reserved/unused: zero
52,00,Reserved/unused: zero
53,00,Reserved/unused: zero
54,00,Reserved/unused: zero
55,00,Reserved/unused: zero
56,00,Reserved/unused: zero
57,00,Reserved/unused: zero
58,00,Reserved/unused: zero
59,00,Reserved/unused: zero
5A,00,Reserved/unused: zero
5B,00,Reserved/unused: zero
5C,00,Reserved/unused: zero
5D,00,Reserved/unused: zero
5E,00,Reserved/unused: zero
5F,00,Reserved/unused: zero
60,00,Reserved/unused: zero
61,00,Reserved/unused: zero
62,00,Reserved/unused: zero
63,00,Reserved/unused: zero
64,00,Reserved/unused: zero
65,00,Reserved/unused: zero
66,00,Reserved/unused: zero
67,00,Reserved/unused: zero
68,00,Reserved/unused: zero
69,00,Reserved/unused: zero
6A,00,Reserved/unused: zero
6B,00,Reserved/unused: zero
6C,00,Reserved/unused: zero
6D,00,Reserved/unused: zero
6E,00,Reserved/unused: zero
6F,00,Reserved/unused: zero
70,00,Reserved/unused: zero
71,00,Reserved/unused: zero
