Source,Connector voltage V,Assumed conversion efficiency,Permitted design load A,Power-limited load before cap A
Host,4.25,0.7,0.2556985294117647,0.2556985294117647
Host,4.25,0.75,0.2907610294117647,0.2907610294117647
Host,4.25,0.8,0.3,0.3258235294117647
External,4.25,0.85,1.6993762085524189,1.6993762085524189
External,4.25,0.9,1.8126413515095878,1.8126413515095878
External,4.25,0.93,1.8806004372838896,1.8806004372838896
Host,4.5,0.7,0.2845735294117647,0.2845735294117647
Host,4.5,0.75,0.3,0.3216985294117647
Host,4.5,0.8,0.3,0.35882352941176476
External,4.5,0.85,1.8126413515095878,1.8126413515095878
External,4.5,0.9,1.9325691499348259,1.9325691499348259
External,4.5,0.93,2.0,2.004525828989969
Host,4.75,0.7,0.3,0.31344852941176465
Host,4.75,0.75,0.3,0.3526360294117647
Host,4.75,0.8,0.3,0.3918235294117647
External,4.75,0.85,1.9259064944667572,1.9259064944667572
External,4.75,0.9,2.0,2.052496948360064
External,4.75,0.93,2.0,2.128451220696048
Host,5.0,0.7,0.3,0.3423235294117647
Host,5.0,0.75,0.3,0.3835735294117647
Host,5.0,0.8,0.3,0.42482352941176477
External,5.0,0.85,2.0,2.039171637423926
External,5.0,0.9,2.0,2.1724247467853015
External,5.0,0.93,2.0,2.252376612402127
Host,5.25,0.7,0.3,0.3711985294117647
Host,5.25,0.75,0.3,0.41451102941176465
Host,5.25,0.8,0.3,0.4578235294117647
External,5.25,0.85,2.0,2.152436780381095
External,5.25,0.9,2.0,2.2923525452105395
External,5.25,0.93,2.0,2.376302004108206
