Reference,Pad,Net,X mm,Y mm,Width mm,Height mm,Angle deg
J1,A1,GND1,7.195,72.75,0.6,1.45,270
J1,A4,VBUS_HOST,7.195,73.55,0.6,1.45,270
J1,A5,HOST_CC1,7.195,74.75,0.3,1.45,270
J1,A6,HOST_D+,7.195,75.75,0.3,1.45,270
J1,A7,HOST_D-,7.195,76.25,0.3,1.45,270
J1,A8,unconnected-(J1-SBU1-PadA8),7.195,77.25,0.3,1.45,270
J1,A9,VBUS_HOST,7.195,78.45,0.6,1.45,270
J1,A12,GND1,7.195,79.25,0.6,1.45,270
J1,B1,GND1,7.195,79.25,0.6,1.45,270
J1,B4,VBUS_HOST,7.195,78.45,0.6,1.45,270
J1,B5,HOST_CC2,7.195,77.75,0.3,1.45,270
J1,B6,HOST_D+,7.195,76.75,0.3,1.45,270
J1,B7,HOST_D-,7.195,75.25,0.3,1.45,270
J1,B8,unconnected-(J1-SBU2-PadB8),7.195,74.25,0.3,1.45,270
J1,B9,VBUS_HOST,7.195,73.55,0.6,1.45,270
J1,B12,GND1,7.195,72.75,0.6,1.45,270
J1,SH,GND1,6.28,71.68,1,2.1,270
J1,SH,GND1,2.1,71.68,1,1.6,270
J1,SH,GND1,6.28,80.32,1,2.1,270
J1,SH,GND1,2.1,80.32,1,1.6,270
J2,A1,GND2,95.25,7.195,0.6,1.45,180
J2,A4,EXT_5V,94.45,7.195,0.6,1.45,180
J2,A5,EXT_CC1,93.25,7.195,0.3,1.45,180
J2,A6,unconnected-(J2-D+-PadA6),92.25,7.195,0.3,1.45,180
J2,A7,unconnected-(J2-D--PadA7),91.75,7.195,0.3,1.45,180
J2,A8,unconnected-(J2-SBU1-PadA8),90.75,7.195,0.3,1.45,180
J2,A9,EXT_5V,89.55,7.195,0.6,1.45,180
J2,A12,GND2,88.75,7.195,0.6,1.45,180
J2,B1,GND2,88.75,7.195,0.6,1.45,180
J2,B4,EXT_5V,89.55,7.195,0.6,1.45,180
J2,B5,EXT_CC2,90.25,7.195,0.3,1.45,180
J2,B6,unconnected-(J2-D+-PadB6),91.25,7.195,0.3,1.45,180
J2,B7,unconnected-(J2-D--PadB7),92.75,7.195,0.3,1.45,180
J2,B8,unconnected-(J2-SBU2-PadB8),93.75,7.195,0.3,1.45,180
J2,B9,EXT_5V,94.45,7.195,0.6,1.45,180
J2,B12,GND2,95.25,7.195,0.6,1.45,180
J2,SH,GND2,96.32,6.28,1,2.1,180
J2,SH,GND2,96.32,2.1,1,1.6,180
J2,SH,GND2,87.68,6.28,1,2.1,180
J2,SH,GND2,87.68,2.1,1,1.6,180
J3,1,PORT1_VBUS,124.17,20.0,1.6,1.6,180
J3,2,PORT1_D-,122.17,20.0,1.6,1.6,180
J3,3,PORT1_D+,120.17,20.0,1.6,1.6,180
J3,4,GND2,118.17,20.0,1.6,1.6,180
J3,SH,GND2,124.9,22.72,2.15,2.15,180
J3,SH,GND2,124.9,17.28,2.15,2.15,180
J3,SH,GND2,117.9,22.72,2.15,2.15,180
J3,SH,GND2,117.9,17.28,2.15,2.15,180
J4,1,PORT2_VBUS,124.17,46.0,1.6,1.6,180
J4,2,PORT2_D-,122.17,46.0,1.6,1.6,180
J4,3,PORT2_D+,120.17,46.0,1.6,1.6,180
J4,4,GND2,118.17,46.0,1.6,1.6,180
J4,SH,GND2,124.9,48.72,2.15,2.15,180
J4,SH,GND2,124.9,43.28,2.15,2.15,180
J4,SH,GND2,117.9,48.72,2.15,2.15,180
J4,SH,GND2,117.9,43.28,2.15,2.15,180
J5,A1,GND2,128.805,80.25,0.6,1.45,90
J5,A4,PORT3_VBUS,128.805,79.45,0.6,1.45,90
J5,A5,PORT3_CC1,128.805,78.25,0.3,1.45,90
J5,A6,PORT3_D+,128.805,77.25,0.3,1.45,90
J5,A7,PORT3_D-,128.805,76.75,0.3,1.45,90
J5,A8,unconnected-(J5-SBU1-PadA8),128.805,75.75,0.3,1.45,90
J5,A9,PORT3_VBUS,128.805,74.55,0.6,1.45,90
J5,A12,GND2,128.805,73.75,0.6,1.45,90
J5,B1,GND2,128.805,73.75,0.6,1.45,90
J5,B4,PORT3_VBUS,128.805,74.55,0.6,1.45,90
J5,B5,PORT3_CC2,128.805,75.25,0.3,1.45,90
J5,B6,PORT3_D+,128.805,76.25,0.3,1.45,90
