Reference,MPN,Footprint,Pin,Function,Expected net,Pad X mm,Pad Y mm,Pad width mm,Pad height mm,Manufacturer source
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A1,GND,GND1,-3.25,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A12,GND,GND1,3.25,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B1,GND,GND1,3.25,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B12,GND,GND1,-3.25,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,SH,SHIELD,GND1,-4.32,-3.13,1,2.1,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,SH,SHIELD,GND1,-4.32,1.05,1,1.6,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,SH,SHIELD,GND1,4.32,-3.13,1,2.1,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,SH,SHIELD,GND1,4.32,1.05,1,1.6,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A4,VBUS,VBUS_HOST,-2.45,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A9,VBUS,VBUS_HOST,2.45,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B4,VBUS,VBUS_HOST,2.45,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B9,VBUS,VBUS_HOST,-2.45,-4.045,0.6,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A5,CC1,HOST_CC1,-1.25,-4.045,0.3,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B5,CC2,HOST_CC2,1.75,-4.045,0.3,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A8,SBU1,NC,1.25,-4.045,0.3,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,B8,SBU2,NC,-1.75,-4.045,0.3,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
J1,TYPE-C-31-M-12,hub-lib:USB_C_Receptacle_HRO_TYPE-C-31-M-12,A6,D+,HOST_D+,-0.25,-4.045,0.3,1.45,https://datasheet.lcsc.com/datasheet/pdf/9e56b777c022540fcce7c7f67825f55e.pdf?productCode=C165948
